id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count
id2875421,2,3/14/2016 17:24,3/14/2016 17:32,1
id2377394,1,6/12/2016 0:43,6/12/2016 0:54,1
id3858529,2,1/19/2016 11:35,1/19/2016 12:10,1
id3504673,2,4/6/2016 19:32,4/6/2016 19:39,1
id2181028,2,3/26/2016 13:30,3/26/2016 13:38,1
id0801584,2,1/30/2016 22:01,1/30/2016 22:09,6
id1813257,1,6/17/2016 22:34,6/17/2016 22:40,4
id1324603,2,5/21/2016 7:54,5/21/2016 8:20,1
id1301050,1,5/27/2016 23:12,5/27/2016 23:16,1
id0012891,2,3/10/2016 21:45,3/10/2016 22:05,1
id1436371,2,5/10/2016 22:08,5/10/2016 22:29,1
id1299289,2,5/15/2016 11:16,5/15/2016 11:34,4
id1187965,2,2/19/2016 9:52,2/19/2016 10:11,2
id0799785,2,6/1/2016 20:58,6/1/2016 21:02,1
id2900608,2,5/27/2016 0:43,5/27/2016 1:07,1
id3319787,1,5/16/2016 15:29,5/16/2016 15:32,1
id3379579,2,4/11/2016 17:29,4/11/2016 18:08,1
id1154431,1,4/14/2016 8:48,4/14/2016 9:00,1
id3552682,1,6/27/2016 9:55,6/27/2016 10:17,1
id3390316,2,6/5/2016 13:47,6/5/2016 13:51,1
id2070428,1,2/28/2016 2:23,2/28/2016 2:31,1
id0809232,2,4/1/2016 12:12,4/1/2016 12:23,1
id2352683,1,4/9/2016 3:34,4/9/2016 3:41,1
id1603037,1,6/25/2016 10:36,6/25/2016 10:55,1
id3321406,2,6/3/2016 8:15,6/3/2016 8:56,1
id0129640,2,2/14/2016 13:27,2/14/2016 13:49,1
id3587298,1,2/27/2016 21:56,2/27/2016 22:14,1
id2104175,1,6/20/2016 23:07,6/20/2016 23:18,1
id3973319,2,6/13/2016 21:57,6/13/2016 22:12,1
id1410897,1,3/23/2016 14:10,3/23/2016 14:49,1
id0266980,1,5/17/2016 10:47,5/17/2016 11:12,1
id2822549,2,5/21/2016 13:03,5/21/2016 13:20,1
id3075902,2,5/10/2016 19:27,5/10/2016 19:44,2
id0023813,1,4/17/2016 14:38,4/17/2016 15:16,1
id3970352,1,1/9/2016 12:55,1/9/2016 13:07,1
id3361153,1,3/11/2016 7:11,3/11/2016 7:20,1
id1870624,1,1/5/2016 15:29,1/5/2016 15:39,3
id2403238,1,6/23/2016 23:00,6/23/2016 23:04,1
id3323083,1,5/27/2016 14:26,5/27/2016 14:46,2
id3720663,1,5/10/2016 16:14,5/10/2016 16:40,1
id0578558,1,4/21/2016 21:28,4/21/2016 21:52,2
id2573056,2,4/14/2016 13:27,4/14/2016 13:46,2
id2129090,1,3/14/2016 14:05,3/14/2016 14:28,1
id3961107,1,3/19/2016 1:12,3/19/2016 1:18,1
id3326491,2,2/12/2016 7:41,2/12/2016 7:51,1
id0718344,2,6/13/2016 15:52,6/13/2016 16:16,1
id3188770,1,1/3/2016 16:59,1/3/2016 17:04,1
